㈜스트라드비젼,경력 (5년이상),대졸이상,,"C, C++"
㈜탐시스텍,경력 (3년이상),대졸이상,,
㈜케이에스씨앤씨(KSC&C Inc.),신입,대졸이상 (졸업예정자 가능),,
㈜메이머스트,경력,대졸이상,"성실성, 성장지향성, 성취지향성","Docker, kubernetes, Python, Linux, DL, Ai, ml, LLM, RAG"
㈜이오그라운드,경력 (1년이상),초대졸이상 (졸업예정자 가능),"협동심, 성장지향성, 성실성","Pandas, Python, Pytorch, Airflow, Langchain"
㈜에스씨에스,신입,학력무관,,
딥파인,경력 (3년이상),대졸이상,,"3D, COMPUTER VISION, VSLAM"
다큐브㈜,경력 (5년이상),학력무관,,
다큐브㈜,경력 (5년이상),학력무관,,"NLU, NLP, LLM, NLG"
㈜옵트에이아이,경력 (1년이상),대학원(석사)이상,,"C, C++, Git, Python, Pytorch, Tensorflow, DL, ml"
㈜옵트에이아이,경력 (1년이상),대학원(석사)이상,,"C, C++, Git, Python, Pytorch, Tensorflow, DL, ml"
㈜옵트에이아이,경력 (1년이상),대학원(석사)이상,,"C, C++, Git, Python, ml, Embedded"
㈜옵트에이아이,경력 (1년이상),대학원(석사)이상,,"C, C++, Git, Python, ml, Embedded"
㈜옵트에이아이,경력 (1년이상),대학원(석사)이상,,"LLM, SLLM"
㈜옵트에이아이,경력 (1년이상),대학원(석사)이상,,"LLM, SLLM"
위드로봇㈜,경력 (3년이상),대졸이상,,"C++, Python, Tensorflow, Ubuntu, 영상처리, 딥러닝, 임베디드"
㈜옵트에이아이,경력 (1년이상),대학원(석사)이상,,"C, C++, Git, Python, Ai, ml"
㈜옵트에이아이,경력 (1년이상),대학원(석사)이상,,"C, C++, Git, Python, Ai, ml"
위드로봇㈜,경력 (3년이상),대졸이상,,"C++, Python, Tensorflow, Ubuntu, 영상처리, 딥러닝, 임베디드, RDB, 웹 프론트"
㈜바이오에이아이,경력 (5년이상),대졸이상,,"Python, RDBMS, SQL, ERP, DBMS, NLP"
씨이랩,경력 (3년이상),대졸이상,,
플레이워크,신입,학력무관,,"AWS, Django, Git, Hadoop, MariaDB, MySQL, NoSQL, Python, Spark, Linux"
㈜빅링크,신입,학력무관,,"API, CSS3, Git, HTML5, Javascript, Vue"
㈜빅링크,신입,학력무관,,"AWS, JAVA, JPA, MariaDB, MyBatis, MySQL, Spring Boot, Linux, Restful API, ChatGPT"
㈜빅링크,신입,학력무관,,"API, C++, Django, MariaDB, MySQL, NoSQL, Python, bigdata, ChatGPT"
㈜빅링크,경력 (3년이상),학력무관,,"CSS3, HTML5, Adobe XD, Figma, Illustrator, Photoshop, UI, UX, D3"
주식회사 메이크봇,신입,초대졸이상 (졸업예정자 가능),,
㈜엠와이씨,경력,학력무관,,
메타빌드㈜,신입,학력무관,,
㈜벡터시스,신입,초대졸이상 (졸업예정자 가능),"계획성, 성실성, 꼼꼼함, 창의성, 성장지향성, 스트레스관리, 윤리의식, 성취지향성","Python, C/C++"
㈜비전스페이스,경력,학력무관,"계획성, 성실성, 창의성, 협동심, 메타인지, 성장지향성, 성취지향성, 꼼꼼함, 스트레스관리","C++, Python, Pytorch, Tensorflow, ROS, SLAM, SVM, 자율주행, RMS"
라온피플㈜,경력,학력무관,,"C++, Python, Pytorch, Tensorflow, 영상처리"
비솔,경력 (5년이상),학력무관,,"AWS, Pytorch, Tensorflow"
키네마스터 주식회사,신입,학력무관,,"C, C++, Python"
㈜두원전자통신,경력 (6년이상),대졸이상,,
㈜더존비즈온,경력,학력무관,,"Hadoop, Spark, SQL, Linux"
㈜위존 강남사업장,경력 (3년이상),학력무관,,"Pytorch, Tensorflow"
㈜위존 강남사업장,경력 (3년이상),학력무관,,"Python, Pytorch, Spark, Tensorflow"
㈜엘로이랩,경력,대학원(석사)이상,"꼼꼼함, 성장지향성, 성실성, 성취지향성",
㈜제이제이앤컴퍼니스,경력 (3년이상),초대졸이상,,"JAVA, kubernetes, OpenCV, Python, Pytorch, RDBMS, Vision"
㈜한국정보공작소,경력 (7년이상),대졸이상 (졸업예정자 가능),"성실성, 창의성, 협동심, 꼼꼼함","JAVA, MySQL, PHP, Python, SQL"
페이크아이즈,경력,대학원(석사)이상 (졸업예정자 가능),"성취지향성, 성장지향성, 계획성, 성실성, 꼼꼼함, 창의성, 협동심","OpenCV, Python, Pytorch, Matplotlib, Seaborn, plotly"
㈜티맥스메타에이아이,경력,대졸이상 (졸업예정자 가능),,
㈜앤에이치씨,신입,초대졸이상,"성취지향성, 계획성, 적응성, 성장지향성, 창의성, 협동심, 성실성, 꼼꼼함, 스트레스관리, 윤리의식","C#, C++"
애니모션텍㈜,경력 (5년이상),대졸이상,,"C, C#, C++, MFC, OpenCV, 머신러닝, 딥러닝, 이미지 프로세싱"
메이킷올,경력,대졸이상 (졸업예정자 가능),"창의성, 협동심, 성장지향성, 적응성","Arduino, Python, 라즈베리파이, PowerPoint, ESP32, 3D프린터, 인공지능"
이모션웨이브㈜,경력,대졸이상 (졸업예정자 가능),"성실성, 성취지향성, 성장지향성, 계획성, 꼼꼼함, 적응성","Jira, Python, Pytorch, Tensorflow, Excel, Notion, Ethereum, GPT, Diffusion, LLM"
팜피㈜,경력,학력무관,"성실성, 성장지향성, 꼼꼼함","Docker, MariaDB, MySQL, PostgreSQL, Ai, LLM, liama, Lamba"
