comp_name,link,apply_require,condition,comp_info
㈜DYB최선어학원,https://www.jobkorea.co.kr/Recruit/GI_Read/45325558?Oem_Code=C1&logpath=1&stext=&listno=21,"경력 신입·경력 학력 대졸이상 (졸업예정자 가능) 스킬 JAVA, MySQL, Oracle, PHP, Python, Illustrator, Photoshop, 파이널컷, 프리미어, 영어","고용형태 정규직 계약직 급여 연봉 3,000만원 이상 - 면접 후 결정 지역 서울시 강남구 , 서울전지역 , 노원구 , 송파구 , 경기도 성남시 분당구 , 성남시 수정구 , 수원시 권선구 , 수원시 장안구 , 수원시 팔달구 , 수원시 영통구 , 안양시 동안구 , 안양시 만안구 , 용인시 수지구 , 하남시 , 화성시 지도",산업(업종) 외국어학원 사원수 700명 설립년도 1993년 (32년차) 기업형태 비영리단체·교육재단 (비상장) 홈페이지 choisun.co.kr
스마트비전,https://www.jobkorea.co.kr/Recruit/GI_Read/45321846?Oem_Code=C1&logpath=1&stext=&listno=22,"경력 신입·경력 학력 학력무관 스킬 무선설비기사 자격, 운전면허, 전자기기기능사 자격, 정보기기운용기능사 자격, 정보보안기사 자격, 정보처리기능사 자격, 정보처리기사 자격, 정보처리산업기사 자격, 정보통신기사 자격, 토목기사 자격, 토목산업기사 자격 핵심역량 계획성, 성취지향성, 꼼꼼함","고용형태 정규직 계약직 급여 회사내규에 따름 - 면접 후 결정 지역 강원도 원주시 , 강원전지역 , 광주전지역 , 서울전지역 , 중랑구 , 전남전지역 지도 시간 주5일 (월~금)",산업(업종) 네트워크·통신서비스 사원수 260명 설립년도 2003년 (22년차) 기업형태 중소기업 (비상장) 홈페이지 sv2003.com
㈜인포플라,https://www.jobkorea.co.kr/Recruit/GI_Read/45321998?Oem_Code=C1&logpath=1&stext=&listno=23,"경력 경력무관 학력 초대졸이상 (졸업예정자 가능) 스킬 AWS, Git, GraphQL, Keras, MariaDB, MongoDB, Node.js, Python, Pytorch, SQL 핵심역량 창의성, 성장지향성, 성실성, 협동심 우대 기본우대 영어가능자 우대전공 전산학과","고용형태 정규직 수습 3개월 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 강남구 , 광진구 , 송파구 , 서초구 , 강동구 , 동작구 , 중구 , 용산구 , 경기도 성남시 분당구 , 성남시 수정구 , 성남시 중원구 지도 시간 주5일 (월~금) 09:00~18:00 직책 팀원",산업(업종) 시스템 소프트웨어 개발 및 공급업 사원수 14명 설립년도 2019년 (6년차) 기업형태 벤처기업 (비상장) 홈페이지 infofla.com
㈜마음에이아이,https://www.jobkorea.co.kr/Recruit/GI_Read/45325879?Oem_Code=C1&logpath=1&stext=&listno=24,경력 경력무관 학력 학력무관,고용형태 정규직 수습 3개월 인턴 근무기간 3개월 정규직 전환가능 급여 회사내규에 따름 - 면접 후 결정 지역 경기도 성남시 수정구 지도 시간 주5일 (월~금) 09:00~18:00 탄력근무제 직급 사원급 직책 팀원,산업(업종) 응용 소프트웨어 개발 및 공급업 사원수 112명 설립년도 2014년 (11년차) 기업형태 중소기업 (코스닥) 홈페이지 maum.ai
㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/45324277?Oem_Code=C1&logpath=1&stext=&listno=25,경력 경력무관 학력 학력무관,고용형태 계약직 급여 회사내규에 따름 지역 경기도 성남시 분당구 지도,"산업(업종) 컴퓨터·하드웨어·장비 사원수 3,500명 설립년도 1994년 (31년차) 기업형태 대기업 (비상장) 홈페이지 company.nexon.com"
에스디바이오센서㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/45320272?Oem_Code=C1&logpath=1&stext=&listno=26,경력 경력 학력 대졸이상,고용형태 정규직 수습기간협의 급여 회사내규에 따름 지역 서울시 강남구,산업(업종) 전기식 진단 및 요법 기기 제조업 사원수 578명 설립년도 2010년 (15년차) 기업형태 중견기업 (코스피) 홈페이지 sdbiosensor.co.kr/com
㈜윕스,https://www.jobkorea.co.kr/Recruit/GI_Read/45320067?Oem_Code=C1&logpath=1&stext=&listno=27,"경력 신입·경력 (1년이상) 학력 초대졸이상 (졸업예정자 가능) 스킬 API, JAVA, Python 핵심역량 계획성, 성실성, 꼼꼼함, 적응성, 창의성, 협동심 우대 기본우대 컴퓨터활용능력 우수자","고용형태 정규직 수습기간협의 급여 회사내규에 따름 - 면접 후 결정 지역 대전시 유성구 , 재택근무 가능 지도 시간 주5일 (월~금) 09:00~18:00 유연근무제 직책 팀원",산업(업종) 포털·컨텐츠·커뮤니티 사원수 445명 설립년도 1999년 (26년차) 기업형태 중소기업 (비상장) 홈페이지 wipscorp.com
㈜커넥트웨이브,https://www.jobkorea.co.kr/Recruit/GI_Read/45310355?Oem_Code=C1&logpath=1&stext=&listno=28,"경력 경력 학력 학력무관 스킬 Docker, Hadoop, JAVA, Kafka, kubernetes, PostgreSQL, Python, Spark 핵심역량 계획성, 성실성, 꼼꼼함",고용형태 정규직 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 금천구 지도,"산업(업종) 쇼핑몰·오픈마켓·소셜커머스 사원수 1,900명 설립년도 2002년 (23년차) 기업형태 중견기업 (코스닥 상장) 홈페이지 https://connectwave.co.kr"
㈜멀티캠퍼스,https://www.jobkorea.co.kr/Recruit/GI_Read/45312670?Oem_Code=C1&logpath=1&stext=&listno=29,경력 경력 (5년이상) 학력 대졸이상,고용형태 정규직 급여 회사내규에 따름 지역 서울시 강남구 지도 시간 주5일 (월~금) 09:00~18:00 탄력근무제,산업(업종) 직원훈련기관 사원수 906명 설립년도 2000년 (25년차) 기업형태 대기업 계열사·자회사 (코스닥 상장) 홈페이지 https://multicampus.recruiter.co.kr
㈜더블다운인터액티브,https://www.jobkorea.co.kr/Recruit/GI_Read/45316295?Oem_Code=C1&logpath=1&stext=&listno=30,"경력 경력 (3년이상) 학력 학력무관 스킬 MSSQL, Python, SQL",고용형태 정규직 수습 3개월 급여 회사내규에 따름 지역 서울시 강남구 지도 시간 주5일 (월~금) 10:00~19:00,산업(업종) 게임·애니메이션 사원수 170명 설립년도 2008년 (17년차) 기업형태 중견기업 (비상장) 홈페이지 https://www.doubledowninteractive.co.kr
